                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.76179,                  1.201,                 1.0538,                0.97886,                0.71956,                0.59525,                0.66704,                0.47505,                0.71915,                0.59551,                0.66519,                0.45461,                 1.0302,                 1.8495,                 1.8311,                 1.2068,              0.0010267,              0.0010267,              0.0010267
                     25,                  0.758,                 1.1753,                  1.035,                0.97534,                0.67027,                0.55927,                0.61241,                0.44318,                0.66119,                0.55097,                0.59282,                0.39821,                 1.0853,                 2.2044,                 1.9342,                 1.2411,               0.001023,               0.001023,               0.001023
                     26,                 0.7714,                 1.1818,                 1.0094,                0.99545,                0.73585,                0.65292,                0.72598,                0.52947,                0.71233,                0.63017,                0.69234,                0.48304,                0.97417,                 2.1586,                 1.5495,                 1.1251,              0.0010193,              0.0010193,              0.0010193
                     27,                0.76374,                 1.1881,                0.99382,                0.99217,                0.77876,                0.65683,                0.75758,                0.55306,                0.77114,                0.64921,                0.73858,                0.51618,                0.96458,                 1.9285,                 1.4428,                 1.1276,              0.0010157,              0.0010157,              0.0010157
                     28,                0.73573,                 1.1219,                0.94805,                0.97552,                0.64417,                0.66049,                0.67598,                0.49274,                0.64242,                0.65073,                0.66802,                 0.4551,                 1.0191,                 2.1616,                 1.5618,                 1.1599,               0.001012,               0.001012,               0.001012
                     29,                0.75265,                 1.1259,                0.93154,                0.98181,                0.65664,                0.62935,                0.67485,                  0.505,                0.66246,                 0.6333,                0.67689,                0.48505,                0.98631,                 1.8629,                 1.5817,                 1.1499,              0.0010083,              0.0010083,              0.0010083
                     30,                0.74059,                 1.1213,                0.93109,                0.98447,                0.81805,                 0.6571,                0.73946,                0.55938,                0.81986,                 0.6577,                0.74054,                0.53492,                 0.9398,                 1.9612,                 1.3503,                 1.1275,              0.0010047,              0.0010047,              0.0010047
                     31,                0.71758,                 1.1012,                 0.9037,                0.97139,                0.71288,                0.60377,                 0.6599,                0.48097,                0.72245,                 0.5967,                0.65168,                0.45602,                 1.0833,                 2.6225,                 1.7009,                  1.262,               0.001001,               0.001001,               0.001001
                     32,                0.72458,                 1.1033,                0.90145,                0.96442,                0.79971,                0.64331,                0.72583,                0.54023,                0.78217,                0.62574,                0.67428,                0.42335,                0.96972,                 2.9479,                 1.3487,                 1.1393,             0.00099734,             0.00099734,             0.00099734
                     33,                0.73885,                 1.0948,                0.88381,                 0.9775,                0.75415,                0.66788,                0.74114,                0.56007,                0.76054,                 0.6575,                 0.7425,                0.52183,                0.93582,                 1.7105,                 1.2968,                 1.0894,             0.00099368,             0.00099368,             0.00099368
                     34,                0.71124,                 1.0829,                0.83981,                0.96908,                 0.7724,                0.73526,                0.81199,                0.61119,                0.73406,                0.74111,                 0.7814,                0.55416,                  0.883,                 1.7353,                  1.092,                 1.0631,             0.00099001,             0.00099001,             0.00099001
                     35,                0.72437,                 1.0924,                0.84262,                0.96505,                 0.7918,                0.72643,                0.79226,                0.59735,                0.76064,                0.73878,                0.77982,                0.56188,                0.90484,                 1.7729,                  1.086,                 1.0852,             0.00098635,             0.00098635,             0.00098635
                     36,                0.70474,                 1.0459,                0.83823,                0.96592,                0.79365,                0.74122,                0.81886,                0.61569,                0.79662,                0.74077,                0.80386,                0.58542,                0.86266,                 1.5975,                 1.0448,                 1.0568,             0.00098268,             0.00098268,             0.00098268
                     37,                0.72023,                 1.0529,                0.84152,                0.95845,                0.81568,                 0.7253,                0.81739,                0.61722,                0.76555,                0.78593,                0.81095,                0.58015,                0.92965,                 1.5518,                  1.007,                 1.1153,             0.00097901,             0.00097901,             0.00097901
                     38,                0.71213,                 1.0814,                0.80348,                0.96238,                0.78176,                0.71952,                0.80138,                0.61834,                0.77559,                0.71724,                0.78979,                0.57815,                0.87467,                 1.5437,                 1.0996,                 1.0629,             0.00097535,             0.00097535,             0.00097535
                     39,                0.70338,                 1.0762,                0.81185,                0.96326,                0.76322,                0.69639,                 0.7594,                 0.5713,                0.76249,                0.69165,                0.75052,                0.52999,                 0.9116,                 1.6948,                 1.1542,                 1.0841,             0.00097168,             0.00097168,             0.00097168
                     40,                0.69291,                 1.0376,                0.80222,                0.95618,                0.81648,                0.69738,                0.77932,                0.59251,                0.81407,                0.70042,                0.77985,                0.56538,                0.86371,                 1.5556,                 1.1319,                 1.0615,             0.00096801,             0.00096801,             0.00096801
                     41,                  0.694,                 1.0434,                0.78285,                0.95863,                 0.7992,                0.69925,                 0.7811,                0.57979,                0.79758,                0.69617,                0.76836,                0.54161,                0.88315,                 1.7163,                 1.1744,                 1.0843,             0.00096435,             0.00096435,             0.00096435
                     42,                0.69279,                 1.0529,                0.77167,                0.95186,                0.84318,                0.72203,                0.80878,                0.62753,                0.83677,                0.72718,                0.80283,                0.58903,                0.85947,                 1.5344,                  1.039,                   1.05,             0.00096068,             0.00096068,             0.00096068
                     43,                0.68547,                 1.0387,                 0.7684,                0.95828,                0.71749,                0.67232,                0.73509,                0.55471,                 0.7711,                0.61785,                0.72449,                0.49018,                0.92242,                 1.9954,                 1.3338,                 1.0779,             0.00095702,             0.00095702,             0.00095702
                     44,                0.68206,                 1.0371,                0.75747,                0.95162,                0.84736,                0.71633,                0.80638,                0.63622,                0.85517,                  0.715,                 0.8048,                0.59914,                0.83693,                  1.612,                 1.0695,                 1.0219,             0.00095335,             0.00095335,             0.00095335
                     45,                0.70647,                 1.0651,                0.78645,                0.96628,                0.87486,                0.72841,                0.81128,                0.63546,                0.87632,                0.72738,                0.80175,                 0.5973,                0.82507,                 1.7289,                 1.0592,                 1.0425,             0.00094968,             0.00094968,             0.00094968
                     46,                0.67665,                 1.0144,                0.75832,                0.95777,                0.85031,                0.73195,                0.81703,                0.63172,                0.85359,                0.72906,                0.81338,                0.60043,                0.83106,                 1.4718,                0.99275,                 1.0657,             0.00094602,             0.00094602,             0.00094602
                     47,                0.67733,                  1.021,                0.72915,                0.94504,                0.82969,                0.68965,                 0.7689,                0.59411,                0.83157,                0.68486,                0.76046,                0.54404,                0.88372,                 1.6895,                  1.132,                   1.09,             0.00094235,             0.00094235,             0.00094235
                     48,                0.66325,                 1.0078,                0.71316,                 0.9418,                0.83581,                 0.7333,                0.78868,                0.62139,                0.84045,                0.72817,                0.78594,                0.58937,                0.84803,                 1.5167,                 1.1134,                  1.064,             0.00093868,             0.00093868,             0.00093868
                     49,                0.65883,                0.97946,                0.69561,                0.94231,                0.84364,                0.73654,                0.81136,                0.62814,                0.84036,                0.73344,                0.81058,                0.60381,                0.84383,                 1.4807,                 1.0339,                 1.0721,             0.00093502,             0.00093502,             0.00093502
                     50,                0.65952,                 1.0131,                 0.7192,                0.94876,                0.77617,                0.77137,                0.82098,                 0.6451,                0.77348,                0.76348,                 0.8133,                0.59495,                0.82213,                 1.7373,                 1.0092,                 1.0593,             0.00093135,             0.00093135,             0.00093135
                     51,                0.65721,                0.99124,                0.70006,                0.94792,                0.84343,                0.71342,                0.81248,                0.64744,                0.83441,                0.71154,                0.79963,                0.58784,                0.79063,                  1.846,                 1.0168,                  1.022,             0.00092769,             0.00092769,             0.00092769
                     52,                0.65207,                0.96569,                0.68527,                0.94254,                0.83088,                0.71233,                0.80798,                0.63997,                0.84454,                0.71699,                0.80923,                0.60439,                0.83815,                 1.5924,                 1.0001,                 1.0399,             0.00092402,             0.00092402,             0.00092402
                     53,                0.62935,                0.93836,                0.67066,                0.93222,                0.82147,                0.77568,                0.84278,                0.66548,                0.83085,                0.76625,                0.82886,                0.62913,                0.79945,                 1.4611,                0.93987,                 1.0119,             0.00092035,             0.00092035,             0.00092035
                     54,                0.64673,                0.96231,                0.68981,                0.95115,                0.79132,                0.71825,                0.78931,                0.61916,                0.78618,                0.70357,                0.77475,                0.57631,                0.81694,                  1.507,                 1.0877,                 1.0409,             0.00091669,             0.00091669,             0.00091669
                     55,                0.62612,                0.95753,                0.68561,                0.93743,                0.86396,                0.74985,                0.83059,                0.64461,                0.86049,                0.74634,                0.81954,                 0.6199,                0.80812,                 1.3749,                 0.9296,                  1.026,             0.00091302,             0.00091302,             0.00091302
                     56,                0.63992,                0.96656,                0.66828,                0.94268,                0.82666,                0.73164,                0.80764,                0.62891,                0.84179,                0.73161,                0.80851,                0.60334,                0.82359,                 1.5171,                0.99429,                 1.0468,             0.00090935,             0.00090935,             0.00090935
                     57,                0.64561,                 0.9593,                0.66748,                0.93924,                0.85067,                0.70595,                0.79734,                0.61528,                0.85386,                0.70819,                0.80153,                0.59843,                0.84299,                 1.4789,                  1.074,                 1.0438,             0.00090569,             0.00090569,             0.00090569
                     58,                0.64359,                0.97365,                0.67445,                0.93225,                0.85957,                0.78327,                 0.8532,                0.67612,                0.85727,                0.77946,                0.84537,                0.63664,                0.78706,                 1.3645,                0.85264,                 1.0117,             0.00090202,             0.00090202,             0.00090202
                     59,                0.63512,                0.95207,                0.66523,                0.93599,                0.82909,                0.77914,                0.84048,                0.65327,                0.83114,                0.78044,                 0.8369,                0.62387,                0.81296,                 1.3831,                0.87467,                 1.0332,             0.00089835,             0.00089835,             0.00089835
                     60,                0.64382,                0.96322,                0.66481,                0.93479,                0.82923,                0.76504,                 0.8511,                0.66275,                0.82205,                0.76662,                0.84163,                0.63099,                0.81756,                 1.4543,                0.86734,                 1.0516,             0.00089469,             0.00089469,             0.00089469
                     61,                0.64816,                0.95464,                0.65628,                0.94043,                0.81446,                0.82432,                0.86841,                0.68709,                 0.8085,                0.82908,                0.85869,                0.64746,                0.77059,                 1.4477,                0.84717,                 1.0094,             0.00089102,             0.00089102,             0.00089102
                     62,                0.61639,                0.92347,                0.63028,                0.92172,                0.82417,                0.78622,                0.84152,                0.67224,                0.82014,                0.78803,                0.83701,                0.62757,                0.75268,                 1.4218,                0.88886,                 1.0027,             0.00088736,             0.00088736,             0.00088736
                     63,                0.61835,                0.94148,                0.61938,                0.92787,                0.83969,                0.77432,                0.84018,                0.66765,                0.84356,                0.77126,                0.83498,                0.63693,                0.75751,                 1.4321,                0.84979,                0.99999,             0.00088369,             0.00088369,             0.00088369
                     64,                0.64372,                0.98538,                0.63301,                0.93833,                0.86096,                0.79586,                0.85487,                0.68824,                0.86223,                  0.798,                0.85121,                0.65669,                0.77281,                 1.3942,                0.82975,                 1.0099,             0.00088002,             0.00088002,             0.00088002
                     65,                0.61992,                0.93783,                0.61812,                0.92521,                0.81683,                0.81613,                0.85685,                0.68968,                0.82351,                 0.8274,                0.85638,                0.65733,                0.75674,                 1.4152,                0.80915,                 1.0035,             0.00087636,             0.00087636,             0.00087636
                     66,                0.62605,                0.93351,                 0.6266,                0.93603,                0.86395,                0.77591,                0.86434,                 0.6937,                0.85872,                0.79404,                 0.8617,                0.65903,                0.76935,                 1.3272,                0.78863,                0.99721,             0.00087269,             0.00087269,             0.00087269
                     67,                0.62868,                0.94957,                 0.6288,                0.92955,                0.84441,                0.82125,                0.86065,                0.70146,                0.87037,                0.80356,                0.85643,                0.66367,                0.72728,                 1.3575,                0.79803,                0.97064,             0.00086902,             0.00086902,             0.00086902
                     68,                0.62726,                 0.9342,                0.62363,                0.92416,                0.87134,                0.76649,                0.83993,                0.68577,                0.87506,                0.76955,                 0.8425,                0.65255,                0.75789,                 1.3283,                0.86881,                0.98828,             0.00086536,             0.00086536,             0.00086536
